**********        EVALUATION REPORT     **********
Classifier: SVM
Feature selection: CHI2, with k=100.
Method to make training data positive: None
Training best score : 0.9386973180076629
Accuracy: 0.9239940387481371
Precision: 0.9203247460501628
Recall: 0.9239940387481371
F-score: 0.9204636471779919

Confusion matrix: 
[[ 69  36]
 [ 15 551]]

Classification report: 
             precision    recall  f1-score   support

        DOM       0.82      0.66      0.73       105
      OTHER       0.94      0.97      0.96       566

avg / total       0.92      0.92      0.92       671

Best parameters: 
	C: 246.0993468455016
	cache_size: 200
	class_weight: None
	coef0: 0.0
	decision_function_shape: 'ovr'
	degree: 3
	gamma: 'auto'
	kernel: 'rbf'
	max_iter: -1
	probability: False
	random_state: None
	shrinking: True
	tol: 0.001
	verbose: False
Number of support vectors per class: 
[120 137]
Support vectors: 
  (0, 11)	1.0
  (1, 30)	1.0
  (1, 73)	1.0
  (1, 74)	1.0
  (1, 79)	1.0
  (1, 82)	1.0
  (1, 98)	1.0
  (2, 34)	1.0
  (2, 36)	1.0
  (2, 68)	1.0
  (2, 72)	1.0
  (2, 91)	1.0
  (2, 98)	1.0
  (3, 31)	1.0
  (3, 32)	1.0
  (3, 36)	1.0
  (3, 81)	1.0
  (3, 91)	1.0
  (3, 93)	1.0
  (4, 11)	1.0
  (4, 40)	1.0
  (4, 64)	1.0
  (4, 93)	1.0
  (5, 11)	1.0
  (5, 35)	1.0
  :	:
  (248, 36)	1.0
  (249, 36)	1.0
  (249, 93)	1.0
  (250, 0)	1.0
  (250, 10)	1.0
  (250, 40)	1.0
  (250, 63)	1.0
  (250, 96)	1.0
  (251, 35)	1.0
  (251, 36)	1.0
  (251, 69)	1.0
  (252, 0)	1.0
  (252, 11)	1.0
  (252, 35)	1.0
  (253, 91)	1.0
  (253, 98)	1.0
  (254, 40)	1.0
  (254, 64)	1.0
  (254, 66)	1.0
  (254, 93)	1.0
  (255, 91)	1.0
  (255, 98)	1.0
  (256, 10)	1.0
  (256, 40)	1.0
  (256, 80)	1.0
