**********        EVALUATION REPORT     **********
Classifier: SVM
Feature selection: CHI2, with k=10000.
Method to make training data positive: None
Training best score : 0.9869055024041548
Accuracy: 0.6072555205047319
Precision: 0.6333103145182701
Recall: 0.6072555205047319
F-score: 0.6191500379300143

Confusion matrix: 
[[ 41 109]
 [140 344]]

Classification report: 
              precision    recall  f1-score   support

           A       0.23      0.27      0.25       150
           I       0.76      0.71      0.73       484

    accuracy                           0.61       634
   macro avg       0.49      0.49      0.49       634
weighted avg       0.63      0.61      0.62       634

Best parameters: 
	C: 0.923849518940045
	break_ties: False
	cache_size: 200
	class_weight: None
	coef0: 0.0
	decision_function_shape: 'ovr'
	degree: 3
	gamma: 'scale'
	kernel: 'linear'
	max_iter: -1
	probability: False
	random_state: None
	shrinking: True
	tol: 0.001
	verbose: False
Number of support vectors per class: 
[ 30 150]
Support vectors: 
  (0, 0)	0.0
  (0, 1)	0.0
  (0, 2)	0.0
  (0, 3)	0.0
  (0, 4)	0.0
  (0, 5)	0.0
  (0, 6)	0.0
  (0, 7)	0.0
  (0, 8)	0.0
  (0, 9)	0.0
  (0, 10)	0.0
  (0, 11)	0.0
  (0, 12)	0.0
  (0, 13)	0.0
  (0, 14)	0.0
  (0, 15)	0.0
  (0, 16)	0.0
  (0, 17)	0.0
  (0, 18)	0.0
  (0, 19)	0.0
  (0, 20)	0.0
  (0, 21)	0.0
  (0, 22)	0.0
  (0, 23)	0.0
  (0, 24)	0.0
  :	:
  (179, 9975)	0.0
  (179, 9976)	0.0
  (179, 9977)	0.0
  (179, 9978)	0.0
  (179, 9979)	0.0
  (179, 9980)	0.0
  (179, 9981)	0.0
  (179, 9982)	0.0
  (179, 9983)	0.0
  (179, 9984)	0.0
  (179, 9985)	0.0
  (179, 9986)	0.0
  (179, 9987)	0.0
  (179, 9988)	0.0
  (179, 9989)	0.0
  (179, 9990)	0.0
  (179, 9991)	0.0
  (179, 9992)	0.0
  (179, 9993)	0.0
  (179, 9994)	0.0
  (179, 9995)	0.0
  (179, 9996)	0.0
  (179, 9997)	0.0
  (179, 9998)	0.0
  (179, 9999)	0.0
